movie_name,movie_rate,genre1,genre2,genre3,genre4,genre5,genre6
你好，李焕英,7.7,Drama,Comedy,Fantasy,,,
逆局,8.2,Mystery,Crime,,,,
年轻的教宗 / The Young Pope,9,Drama,,,,,
怒呛人生 / Beef,8.7,Drama,Comedy,,,,
女性瘾者：第二部 / Nymphomaniac: Volume II,7.9,Drama,,,,,
女性瘾者：第一部 / Nymphomaniac: Volume I,7.9,Drama,,,,,
,,,,,
,,,,,
潘神的迷宫 / El laberinto del fauno,7.9,Drama,War,Fantasy,,,
怦然心动 / Flipped,9.1,Drama,Comedy,Romance,,,
坡道上的家 / 坂の途中の家,9,Drama,Mystery,Family,Crime,,
奇异博士 / Doctor Strange,7.6,Action,Fantasy,Adventure,,,
千年女优 / 千年女優,8.8,Drama,Romance,Animation,,,
千与千寻 / 千と千尋の神隠し,9.4,Drama,Animation,Fantasy,,,
切尔诺贝利 / Chernobyl,9.6,Drama,History,,,,
请以你的名字呼唤我 / Call Me by Your Name,8.9,Drama,Romance,,,,
庆余年 第一季,7.9,Drama,History,,,,
囚犯医生 / 닥터 프리즈너,8.9,Drama,,,,,
权力的游戏 第八季 / Game of Thrones Season 8,6.1,Drama,Fantasy,Adventure,,,
权力的游戏  第二季 / Game of Thrones Season 2,9.5,Drama,Fantasy,Adventure,,,
权力的游戏 第六季 / Game of Thrones Season 6,9.5,Drama,War,Fantasy,Adventure,,
权力的游戏 第七季 / Game of Thrones Season 7,9.2,Drama,Fantasy,Adventure,,,
权力的游戏 第三季 / Game of Thrones Season 3,9.5,Drama,Fantasy,Adventure,,,
权力的游戏 第四季 / Game of Thrones Season 4,9.6,Drama,Fantasy,Adventure,,,
权力的游戏 第五季 / Game of Thrones Season 5,9.4,Drama,Fantasy,Adventure,,,
权力的游戏 第一季 / Game of Thrones Season 1,9.5,Drama,Fantasy,Adventure,,,
燃烧女子的肖像 / Portrait de la jeune fille en feu,8.7,Drama,Romance,,,,
人间世 第一季,9.7,Documentary,,,,,
